Plot_ID,Acantholimon_lycopodioides,Aconitum_heterophyllum,Aconitum_rotundifolium,Aconitum_violaceum,Aconogonon_tortuosum,Agrostis_gigantea,Allium_carolinianum,Allium_oreoprasum,Allium_przewalskianum,Allium_sp,Anaphalis_nubigena,Anaphalis_virgata,Androsace_aizoon,Androsace_mucronifolia,Androsace_robusta,Androsace_villosa,Anemone_rupicola,Aquilegia_fragrans,Aquilegia_moorcroftiana,Arabidopsis_thaliana,Arenaria_serpyllifolia,Argentina_anserina,Arnebia_euchroma,Artemisia_brevifolia,Artemisia_dracunculus,Artemisia_fragrans,Artemisia_kargilensis,Artemisia_minor,Artemisia_moorcroftiana,Artemisia_salsoloides,Artemisia_santolinifolia,Artemisia_scoparia,Artemisia_sieversiana,Artemisia_stricta,Askellia_flexuosa,Aster_flaccidus,Astragalus_cf_alpinus,Astragalus_falconeri,Astragalus_hoffmeisteri,Astragalus_melanostachys,Astragalus_munroi,Astragalus_nivalis,Astragalus_oplites,Astragalus_rhizanthus,Astragalus_candolleanus,Astragalus_sp,Astragalus_strictus,Astragalus_thomsonii,Astragalus_tibetanus,Axyris_hybrida,Berberis_orthobotrys,Bergenia_stracheyi,Betula_utilis_jacquemontii,Bistorta_affinis,Bistorta_vivipara,Blysmus_compressus,Bothriochloa_ischaemum,Brachyactis_pubescens,Brachyactis_roylei,Bromus_pectinatus,Bukiniczia_cabulica,Bupleurum_candollei,Bupleurum_falcatum,Calamagrostis_holciformis,Calamagrostis_pseudophragmites,Calvatia_bovista,Campanula_pallida_var_tibetica,Capparis_spinosa,Caragana_versicolor,Cardamine_macrophylla,Carduus_nutans,Carex_melanantha,Carex_orbicularis,Carex_pamirensis,Carex_pseudofoetida,Carex_sp_UNID,Carex_stenocarpa,Carex_stenophylla,Carex_supina,Carum_carvi,Cerastium_cerastoides,Cerastium_fontanum,Cerastium_glomeratum,Chenopodium_album,Chesneya_cuneata,Chorispora_macropoda,Chorispora_sabulosa,Christolea_crassifolia,Cicer_microphyllum,Cirsium_arvense,Clematis_orientalis,Codonopsis_clematidea,Colutea_nepalensis,Conioselinum_vaginatum,Convolvulus_arvensis,Corydalis_flabellata,Cotoneaster_affinis,Cousinia_thomsonii,Cremanthodium_ellisii,Crepidiastrum_tenuifolium,Crucihimalaya_mollissima,Cuscuta_capitata,Cuscuta_europaea,Cynanchum_vincitoxicum,Dactylorhiza_hatagirea,Dasiphora_dryadanthoides,Decalepidanthus_echioides,Delphinium_brunonianum,Delphinium_cashmerianum,Dianthus_anatolicus,Dolomiaea_macrocephala,Dontostemon_glandulosus,Draba_cachemirica,Draba_setosa,Draba_stenocarpa,Dysphania_botrys,Echium_plantagineum,Elymus_canaliculatus,Elymus_cognatus,Elymus_dahuricus,Elymus_jacquemontii,Elymus_nutans,Elymus_repens,Elymus_schrenkianus,Elymus_schugnanicus,Elymus_sp,Ephedra_gerardiana,Ephedra_intermedia,Epilobium_angustifolium,Epilobium_chitralense,Epilobium_latifolium,Equisetum_arvense,Equisetum_diffusum,Equisetum_ramosissimum,Eremopoa_altaica_subsp_songorica,Erigeron_annus,Erigeron_multiradiatus,Erigeron_uniflorus,Eritrichium_canum,Eritrichium_patens,Eritrichium_spathulatum,Eritrichium_villosum,Erysimum_melicentae,Euphorbia_thomsoniana,Euphorbia_tibetica,Euphrasia_himalayica,Euphrasia_officinalis,Euphrasia_platyphylla,Euphrasia_schlagintweitii,Fagopyrum_esculentum,Fagopyrum_tataricum,Farinopsis_salesoviana,Ferula_jaeschkeana,Festuca_kashmiriana,Festuca_nitidula,Filago_arvensis,Fragaria_nubicola,Galium_boreale,Galium_verum,Gentiana_burkillii,Gentiana_leucomelaena,Gentiana_squarrosa,Gentiana_tianschanica,Gentianella_moorcroftiana,Gentianopsis_paludosa,Gentianopsis_vvedenskyi,Geranium_himalayense,Geranium_regelii,Geranium_sp,Gnaphalium_stewartii,Gypsophila_sedifolia,Halogeton_glomeratus,Hedysarum_tibeticum,Heracleum_pinnatum,Heteropappus_semiprostratus,Hippolytia_senecionis,Hippophae_rhamnoides,Hippophae_tibetana,Hordeum_sp,Hylotelephium_ewersii,Hypericum_perforatum,Impatiens_brachycentra,Inula_koelzii,Inula_obtusifolia,Inula_rhizocephala,Iris_hookeriana,Jacobaea_nudicaulis,Juniperus_recurva,Juniperus_semiglobosa,Jurinea_ceratocarpa,Kobresia_capillifolia,Kobresia_karakorumensis,Kobresia_myosuroides,Kobresia_orbicularis,Kobresia_royleana,Kobresia_schoenoides,Kobresia_sp,Kobresia_stenophylla,Koeleria_macrantha,Koeleria_sp,Koenigia_rumicifolia,Krascheninnikovia_ceratoides,Lactuca_orientalis,Lactuca_tatarica,Lamium_amplexicaule,Leontopodium_alpinum,Leontopodium_brachyactis,Leontopodium_himalayanum,Leontopodium_monocephalum,Leontopodium_nanum,Leontopodium_ochroleucum,Leontopodium_souliei,Lepidium_latifolium,Lepyrodiclis_holosteoides,Leymus_secalinus,Lindelofia_anchusoides,Lindelofia_stylosa,Linum_usitatissimum,Lloydia_serotina,Lomatogonium_carinthiacum,Lonicera_asperifolia,Lonicera_microphylla,Lonicera_semenovii,Lonicera_spinosa,Lotus_corniculatus,Matthiola_chorassanica,Meconopsis_aculeata,Medicago_falcata,Medicago_lupulina,Medicago_varia,Melanoseris_violifolia,Melica_persica,Mentha_longifolia,Mentha_royleana,Minuartia_biflora,Minuartia_foliosa,Morina_coulteriana,Myosotis_asiatica,Myricaria_elegans,Myricaria_germanica,Neobrachyactis_pubescens,Nepeta_discolor,Nepeta_leucolaena,Nepeta_podostachys,Nepeta_floccosa,Nepeta_glutinosa,Orobanche_cernua,Oryzopsis_sp,Oxyria_digyna,Oxytropis_densa,Oxytropis_glabra,Oxytropis_humifusa,Oxytropis_hypoglottoides,Oxytropis_lapponica,Oxytropis_microphylla,Oxytropis_sp,Oxytropis_sp_Unid,Oxytropis_cachemiriana,Oxytropis_tatarica,Parnassia_laxmannii,Pedicularis_bicornuta,Pedicularis_punctata,Pedicularis_rhinanthoides,Pennisetum_flaccidum,Phragmites_australis,Physochlaina_praealta ,Piptatherum_gracile,Piptatherum_laterale,Plantago_depressa,Plantago_himalaica,Plantago_lanceolata,Pleurospermum_candollei,Pleurospermum_sp,Poa_alpina,Poa_attenuata,Poa_diaphora_var_songarica,Poa_sterilis,Poa_tibetica,Podophyllum_hexandrum,Polygonum_biaristatum,Polygonum_cognatum,Polygonum_molliiforme,Polygonum_paronychioides,Polygonum_polycnemoides,Polygonum_rottboellioides,Potentilla_atrosanguinea_var_argyrophylla,Potentilla_desertorum,Potentilla_multifida,Potentilla_pamirica,Potentilla_saundersiana,Potentilla_sojakii,Prangos_pabularia,Primula_macrophylla,Primula_minutissima,Primula_pamirica,UNID_Neobrachyactis,Puccinellia_distans,Ranunculus_distans,Ranunculus_longicaulis,Ranunculus_pulchellus,Ranunculus_jacquemontii,Rhamnus_prostrata,Rheum_spiciforme,Rheum_tibeticum,Rheum_webbianum,Rhodiola_crenulata,Rhodiola_fastigiata,Rhodiola_heterodonta,Rhodiola_pamiroalaica,Rhodiola_tibetica,Rhodiola_wallichiana,Ribes_himalense_var_verruculosum,Ribes_orientale,Richteria_pyrethroides,Rosa_webbiana,Rosularia_alpestris,Rubia_tibetica,Rubia_tinctorum,Rubus_saxatilis,Rumex_acetosa,Rumex_nepalensis,Rumex_patientia,Salix_caesia,Salix_flabellaris,Salix_karelinii,Salix_pycnostachya,Salix_sericocarpa,Salsola_collina,Salsola_tragus,Saussurea_cf._abnormis,Saussurea_gnaphalodes,Saussurea_jacea,Saussurea_schultzii,Saussurea_leontodontoides,Saxifraga_flagellaris,Saxifraga_meeboldi,Scopolia_lurida,Scorzonera_virgata,Scrophularia_dentata,Scrophularia_koelzii,Semenovia_lasiocarpa,Senecio_chrysanthemoides,Senecio_korshinskyi,Sibbaldia_cuneata,Sibbaldianthe_bifurca,Silene_caespitella,Silene_moorcroftiana,Silene_rechingeri,Silene_vulgaris,Sisymbrium_brassiciforme,Solenanthus_circinatus_Ledeb.,Sorbus_tianschanica,Stachys_tibetica,Stipa_caucasica,Stipa_himalaica,Stipa_purpurea,Stipa_splendens,Swertia_petiolata,Tanacetum_artemisioides,Tanacetum_fruticulosum,Tanacetum_gracile,Tanacetum_tibeticum,Taraxacum_ceratophorum,Taraxacum_officinale,Thalictrum_alpinum,Thalictrum_foetidum,Thermopsis_inflata,Thesium_hookeri,Thymus_linearis,Thymus_serpyllum,Trichophorum_pumilum,Trifolium_pratense,Trifolium_repens,Triglochin_maritima,Trigonella_gracilis,Trisetum_spicatum,Tulipa_stellata,Verbascum_thapsus,Viola_kunawurensis,Waldheimia_tomentosa,Waldheimia_vestita,Psychrogeton_andryaloides,Bassia_prostrata
FID_634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_642,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
FID_648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
FID_649,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FID_670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_671,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
FID_672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_673,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0
FID_674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_675,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_676,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
